Epic ID,Epic Name,Story ID,User Story,Priority,Release,Type,Status,Notes
T0,T0 - Project Setup,US-T0-01,Create Git Repository,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-02,Define Branching Strategy,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-03,Setup Local Dev Guide,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-04,Install Dependencies,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-05,Setup Next.js Project,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-06,Setup TypeScript,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-07,Setup ESLint + Prettier,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-08,Setup Environment Variables,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-09,Setup README,P0,MVP,Technical,Not Started,
T0,T0 - Project Setup,US-T0-10,Commit Convention,P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-01,Create Firebase Project (dev/staging/prod),P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-02,Enable Firestore,P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-03,Setup Security Rules baseline,P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-04,Setup Firebase Auth,P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-05,Setup Firebase Storage,P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-06,Setup Firebase Functions,P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-07,Configure Firebase CLI,P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-08,Setup Firebase Emulator,P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-09,Define Firestore Collections (all 25),P0,MVP,Technical,Not Started,
T1,T1 - Firebase Backend Setup,US-T1-10,Logging Setup,P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-01,Define Folder Structure (studioverse repo),P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-02,Setup App Shell Layout,P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-03,Routing Convention (App Router),P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-04,Component Structure + Module Pattern,P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-05,State Management (Zustand stores),P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-06,API / Service Layer Setup,P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-07,Constants + Enums,P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-08,Utilities + Helpers,P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-09,Error Handling (error.tsx + boundaries),P0,MVP,Technical,Not Started,
T2,T2 - Frontend Architecture,US-T2-10,Form Handling Pattern,P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-01,Setup Vercel Projects (3 Studios),P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-02,Connect GitHub Repo to Vercel,P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-03,Environment Variables (dev/staging/prod),P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-04,Firebase Deploy Config,P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-05,CI/CD Pipeline,P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-06,Multi-environment Setup,P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-07,Domain Mapping (3 Studio domains),P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-08,SSL Configuration,P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-09,Build Validation,P0,MVP,Technical,Not Started,
T3,T3 - Deployment & DevOps,US-T3-10,Rollback Strategy,P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-01,Define Roles (superadmin/company/professional/individual),P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-02,Auth Guards (route protection),P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-03,Firestore Security Rules (all 25 collections),P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-04,Data Isolation (studioType + professionalId scoping),P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-05,Secure Firebase Functions (input validation),P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-06,Input Validation Layer,P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-07,Audit Logging (auditLogs collection),P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-08,Rate Limiting on Functions,P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-09,Secure Env Vars (no secrets in frontend),P0,MVP,Technical,Not Started,
T4,T4 - Security & Access Control,US-T4-10,PII Handling Policy,P0,MVP,Technical,Not Started,
T5,T5 - Studio Config Architecture,US-T5-01,Create studio.config.ts loader,P0,MVP,Technical,Not Started,
T5,T5 - Studio Config Architecture,US-T5-02,Create coaching.config.ts,P0,MVP,Technical,Not Started,
T5,T5 - Studio Config Architecture,US-T5-03,Create training.config.ts,P0,MVP,Technical,Not Started,
T5,T5 - Studio Config Architecture,US-T5-04,Create recruitment.config.ts,P0,MVP,Technical,Not Started,
T5,T5 - Studio Config Architecture,US-T5-05,Implement TerminologyMap interface,P0,MVP,Technical,Not Started,
T5,T5 - Studio Config Architecture,US-T5-06,Implement useStudio() hook,P0,MVP,Technical,Not Started,
T5,T5 - Studio Config Architecture,US-T5-07,NEXT_PUBLIC_STUDIO_TYPE env var for all 3 deployments,P0,MVP,Technical,Not Started,
E0,E0 - Public Landing Page,US-E0-01,Landing Page (Hero + sections + counters + CTA),P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-02,Navigation (sticky header + anchor links),P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-03,Footer (legal + social + contact),P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-04,Responsive (portrait-first mobile),P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-05,SEO (meta + OG + sitemap),P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-06,Hosting (Vercel deploy per Studio),P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-07,Domain Mapping per Studio,P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-08,Analytics (page views + CTA clicks + scroll depth),P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-09,Routing (anchor routing + 404 handling),P0,MVP,Product,Not Started,
E0,E0 - Public Landing Page,US-E0-10,Error Handling (chatbot fail + asset fail),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-01,Layout (header + sidebar + content area),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-02,Placeholder Screens (all modules),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-03,Routing (authenticated route group),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-04,Menu Roles (role-aware nav visibility),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-05,Role Dashboards (4 role dashboard shells),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-06,Mobile UI (touch-first + portrait-first),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-07,Capacitor Integration (iOS + Android scaffold),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-08,Mobile Navigation (bottom nav + overflow drawer),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-09,Build Pipeline (web + wrapper build commands),P0,MVP,Product,Not Started,
E1,E1 - App Shell & Mobile Wrapper,US-E1-10,Env Config (all env vars documented),P0,MVP,Product,Not Started,
E2,E2 - Auth & User Management,US-E2-01,Registration (email + name + role selection),P0,MVP,Product,Not Started,
E2,E2 - Auth & User Management,US-E2-02,Login (email + password),P0,MVP,Product,Not Started,
